无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,R000010,0.0,1253.0428319099597,1253.0428319099597
U02,A,R071593,0.0,1193.0428319099597,1193.0428319099597
U03,A,R071594,0.0,1193.0428319099597,1193.0428319099597
U04,A,R071595,0.0,1193.0428319099597,1193.0428319099597
U05,B,R000262,0.0,1869.4056481192079,1869.4056481192079
U07,C,R000634,0.0,1429.3384316100783,1429.3384316100783
U08,C,R000660,0.0,1908.158457628726,1908.158457628726
U06,B,R000255,0.0,1511.124271245235,1511.124271245235
U07,C,R000326,1429.3384316100783,2859.2221728053637,1429.8837411952854
U06,B,R000248,1511.124271245235,3436.0293721080175,1924.9051008627825
U05,B,R000234,1869.4056481192079,3424.69073462567,1555.285086506462
U08,C,R000490,1908.158457628726,4020.2757785633194,2112.1173209345934
U07,C,R000683,2903.1953131876057,5108.164973274379,2204.969660086773
U05,B,R000223,3424.69073462567,4926.324234251079,1501.6334996254095
U06,B,R000269,3463.1694974494953,5293.6415294817325,1830.4720320322367
U08,C,R000575,4020.2757785633194,6326.616767436071,2306.3409888727515
U05,B,R000158,4926.324234251079,7007.650253070284,2081.326018819204
U07,C,R000516,5108.164973274379,7479.059038154781,2370.894064880402
U06,B,R003841,5297.905210925882,7330.6699036988375,2032.764692772956
U08,C,R000606,6529.582109499243,8410.418681603842,1880.8365721045984
U05,B,R000241,7007.650253070284,8197.701320140695,1190.051067070412
U07,C,R000280,7529.638232608917,8959.521973804203,1429.8837411952854
U06,B,R000187,7330.6699036988375,8537.725722190426,1207.0558184915885
